,Gross domestic product 2011,,,,,,,,
HND,110,,Honduras," 17,427 ",,,,,
BWA,111,,Botswana," 17,328 ",,,,,
GAB,112,,Gabon," 17,052 ",,,,,
UGA,113,,Uganda," 16,810 ",,,,,
BRN,114,,Brunei Darussalam," 16,360 ",,,,,
ZAR,115,,"Congo, Dem. Rep."," 15,654 ",,,,,
JAM,116,,Jamaica," 14,439 ",,,,,
COG,117,,"Congo, Rep."," 14,426 ",,,,,
GEO,118,,Georgia," 14,367 ",e,,,,
SEN,119,,Senegal," 14,291 ",,,,,
ISL,120,,Iceland," 14,026 ",,,,,
ALB,121,,Albania," 12,960 ",,,,,
PNG,122,,Papua New Guinea," 12,937 ",,,,,
KHM,123,,Cambodia," 12,830 ",,,,,
MOZ,124,,Mozambique," 12,762 ",,,,,
NAM,125,,Namibia," 12,511 ",,,,,
MUS,126,,Mauritius," 11,260 ",,,,,
MLI,127,,Mali," 10,827 ",,,,,
TCD,128,,Chad," 10,581 ",,,,,
MKD,129,,"Macedonia, FYR"," 10,439 ",,,,,
BFA,130,,Burkina Faso," 10,396 ",,,,,
ARM,131,,Armenia," 10,248 ",,,,,
MDG,132,,Madagascar," 9,912 ",,,,,
ZWE,133,,Zimbabwe," 9,656 ",,,,,
NIC,134,,Nicaragua," 9,317 ",,,,,
MLT,135,,Malta," 8,887 ",,,,,
MNG,136,,Mongolia," 8,761 ",,,,,
LAO,137,,Lao PDR," 8,298 ",,,,,
BHS,138,,"Bahamas, The"," 7,788 ",,,,,
HTI,139,,Haiti," 7,346 ",,,,,
BEN,140,,Benin," 7,295 ",,,,,
MDA,141,,Moldova," 7,001 ",f,,,,
TJK,142,,Tajikistan," 6,522 ",,,,,
KSV,143,,Kosovo," 6,453 ",,,,,
RWA,144,,Rwanda," 6,375 ",,,,,
KGZ,145,,Kyrgyz Republic," 6,198 ",,,,,
MCO,146,,Monaco," 6,075 ",,,,,
NER,147,,Niger," 6,017 ",,,,,
BMU,148,,Bermuda," 5,765 ",,,,,
MWI,149,,Malawi," 5,621 ",,,,,
GIN,150,,Guinea," 5,089 ",,,,,
LIE,151,,Liechtenstein," 4,826 ",,,,,
MNE,152,,Montenegro," 4,496 ",,,,,
SUR,153,,Suriname," 4,304 ",,,,,
MRT,154,,Mauritania," 4,213 ",,,,,
SWZ,155,,Swaziland," 4,090 ",,,,,
FJI,156,,Fiji," 3,818 ",,,,,
BRB,157,,Barbados," 3,685 ",,,,,
TGO,158,,Togo," 3,620 ",,,,,
SLE,159,,Sierra Leone," 2,973 ",,,,,
ERI,160,,Eritrea," 2,609 ",,,,,
GUY,161,,Guyana," 2,577 ",,,,,
LSO,162,,Lesotho," 2,426 ",,,,,
BDI,163,,Burundi," 2,326 ",,,,,
FRO,164,,Faeroe Islands," 2,198 ",,,,,
CAF,165,,Central African Republic," 2,195 ",,,,,
MDV,166,,Maldives," 2,050 ",,,,,
CPV,167,,Cape Verde," 1,901 ",,,,,
BTN,168,,Bhutan," 1,732 ",,,,,
LBR,169,,Liberia," 1,545 ",,,,,
BLZ,170,,Belize," 1,448 ",,,,,
GRL,171,,Greenland," 1,268 ",,,,,
LCA,172,,St. Lucia," 1,259 ",,,,,
ATG,173,,Antigua and Barbuda," 1,118 ",,,,,
SYC,174,,Seychelles," 1,060 ",,,,,
TMP,175,,Timor-Leste," 1,054 ",,,,,
DJI,176,,Djibouti," 1,049 ",,,,,
GNB,177,,Guinea-Bissau, 968 ,,,,,
GMB,178,,"Gambia, The", 898 ,,,,,
SLB,179,,Solomon Islands, 838 ,,,,,
GRD,180,,Grenada, 816 ,,,,,
VUT,181,,Vanuatu, 760 ,,,,,
KNA,182,,St. Kitts and Nevis, 697 ,,,,,
VCT,183,,St. Vincent and the Grenadines, 688 ,,,,,
WSM,184,,Samoa, 641 ,,,,,
COM,185,,Comoros, 610 ,,,,,
DMA,186,,Dominica, 484 ,,,,,
TON,187,,Tonga, 434 ,,,,,
FSM,188,,"Micronesia, Fed. Sts.", 310 ,,,,,
STP,189,,São Tomé and Principe, 248 ,,,,,
MHL,190,,Marshall Islands, 174 ,,,,,
KIR,191,,Kiribati, 167 ,,,,,
PLW,192,,Palau, 166 ,,,,,
TUV,193,,Tuvalu, 36 ,,,,,
,,,,,,,,,
ASM,,,American Samoa, .. ,,,,,
ADO,,,Andorra, .. ,,,,,
ABW,,,Aruba, .. ,,,,,
CYM,,,Cayman Islands, .. ,,,,,
CHI,,,Channel Islands, .. ,,,,,
CUB,,,Cuba, .. ,,,,,
CUW,,,Curaçao, .. ,,,,,
PYF,,,French Polynesia, .. ,,,,,
GUM,,,Guam, .. ,,,,,
IMY,,,Isle of Man, .. ,,,,,
PRK,,,"Korea, Dem. Rep.", .. ,,,,,
MMR,,,Myanmar, .. ,,,,,
NCL,,,New Caledonia, .. ,,,,,
MNP,,,Northern Mariana Islands, .. ,,,,,
SMR,,,San Marino, .. ,,,,,
SXM,,,Sint Maarten (Dutch part), .. ,,,,,
SOM,,,Somalia, .. ,,,,,
MAF,,,St. Martin (French part), .. ,,,,,
TCA,,,Turks and Caicos Islands, .. ,,,,,
VIR,,,Virgin Islands (U.S.), .. ,,,,,
WBG,,,West Bank and Gaza, .. ,,,,,
,,,,,,,,,
WLD,,,World," 70,020,432 ",,,,,
,,,,,,,,,
LIC,,,Low income," 475,769 ",,,,,
MIC,,,Middle income," 23,040,828 ",,,,,
LMC,,,  Lower middle income," 4,792,840 ",,,,,
UMC,,,  Upper middle income," 18,245,538 ",,,,,
LMY,,,Low & middle income," 23,543,295 ",,,,,
EAP,,,  East Asia & Pacific," 9,313,033 ",,,,,
ECA,,,  Europe & Central Asia," 3,634,863 ",,,,,
LAC,,,  Latin America & Caribbean," 5,645,541 ",,,,,
MNA,,,  Middle East & North Africa," 1,201,884 ",,,,,
SAS,,,  South Asia," 2,295,951 ",,,,,
SSA,,,  Sub-Saharan Africa," 1,266,024 ",,,,,
HIC,,,High income," 46,606,101 ",,,,,
EMU,,,  Euro area," 13,079,862 ",,,,,
,,,,,,,,,
,.. Not available.  ,,,,,,,,
,Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for 2010 or 2009.,,,,,,,,
,a. Includes Former Spanish Sahara.  b. Exclude South Sudan after July 2011.  c. Data are for the area controlled by the government of the Republic,,,,,,,,
,of Cyprus.  d. Covers mainland Tanzania only.  e. Excludes Abkhazia and South Ossetia.  f. Excludes Transnistria.,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
