"Amount.Requested","Amount.Funded.By.Investors","Interest.Rate","Loan.Length","Loan.Purpose","Debt.To.Income.Ratio","State","Home.Ownership","Monthly.Income","FICO.Range","Open.CREDIT.Lines","Revolving.CREDIT.Balance","Inquiries.in.the.Last.6.Months","Employment.Length"
"4227",3000,3000,"8.59%","36 months","other","3.72%","MA","MORTGAGE",4167,"765-769",4,7074,0,"5 years"
"50182",14500,14500,"7.90%","36 months","debt_consolidation","4.85%","GA","MORTGAGE",3958.33,"760-764",4,9598,0,"4 years"
"87023",23850,23850,"21.00%","60 months","debt_consolidation","28.81%","LA","MORTGAGE",5833.33,"685-689",19,25968,3,"9 years"
"46120",14000,14000,"12.12%","36 months","debt_consolidation","14.93%","CA","MORTGAGE",10583.33,"685-689",9,35457,0,"2 years"
"30756",35000,34975,"16.49%","60 months","debt_consolidation","7.45%","GA","MORTGAGE",10416.67,"720-724",7,31414,0,"8 years"
"94582",16000,16000,"15.80%","60 months","car","11.94%","WV","RENT",5250,"685-689",14,154,1,"3 years"
"457",17350,7019.25,"13.55%","36 months","debt_consolidation","18.52%","NH","OWN",3666.67,"675-679",8,18966,2,"6 years"
"96536",8000,7975,"7.90%","36 months","car","29.62%","AL","MORTGAGE",5583.33,"780-784",9,6065,1,"10+ years"
"39591",7200,7200,"7.90%","36 months","debt_consolidation","7.98%","GA","RENT",5666.67,"720-724",5,8783,0,"3 years"
"78862",20125,20125,"7.62%","36 months","home_improvement","4.29%","VA","MORTGAGE",3750,"830-834",13,73952,0,"1 year"
"54619",12000,11875,"8.90%","36 months","debt_consolidation","12.06%","NY","RENT",5000,"715-719",11,14717,0,"4 years"
"101798",2400,1850,"12.49%","36 months","home_improvement","20.56%","MD","MORTGAGE",3448.33,"660-664",10,18749,5,"< 1 year"
"98029",3200,3200,"17.27%","36 months","home_improvement","8.36%","HI","MORTGAGE",2500,"670-674",7,6619,1,"3 years"
"95579",12725,12725,"11.14%","36 months","debt_consolidation","22.15%","TX","RENT",4416.67,"720-724",23,4079,0,"3 years"
"4868",5500,5500,"19.13%","36 months","credit_card","3.58%","DC","RENT",12000,"660-664",2,0,1,"8 years"
"26822",15650,15650,"21.74%","36 months","house","13.86%","MD","RENT",3700,"660-664",5,10605,1,"4 years"
"98445",9000,9000,"17.27%","36 months","credit_card","25.22%","CA","RENT",5166.67,"675-679",14,5852,1,"10+ years"
"14958",5000,5000,"11.86%","36 months","major_purchase","4%","TX","RENT",5577,"715-719",3,1069,0,"1 year"
"14754",3000,3000,"10.38%","36 months","debt_consolidation","15.21%","PA","RENT",3083.33,"710-714",11,3098,0,"2 years"
"34501",20000,19975,"23.91%","60 months","debt_consolidation","9.47%","CA","MORTGAGE",11250,"670-674",5,11168,0,"< 1 year"
"26888",5450,5450,"7.49%","60 months","other","2.48%","WA","MORTGAGE",4600,"785-789",14,4326,0,"10+ years"
"81759",14000,14000,"12.12%","36 months","debt_consolidation","11.38%","NY","MORTGAGE",4500,"705-709",22,18583,0,"5 years"
"10825",8800,8799.04,"10.38%","60 months","credit_card","21.59%","IL","RENT",3750,"750-754",11,18694,1,"2 years"
"16667",3000,3000,"17.44%","36 months","other","15.79%","MD","RENT",7952,"660-664",4,12578,0,"8 years"
"92046",32000,32000,"17.27%","60 months","debt_consolidation","15.61%","IL","RENT",9250,"700-704",15,32566,1,"2 years"
"88279",22250,22250,"21.49%","60 months","debt_consolidation","28.87%","HI","RENT",4166.67,"665-669",15,14107,0,"9 years"
"17218",7325,7300,"17.80%","60 months","debt_consolidation","20.37%","NY","OWN",3000,"680-684",6,13583,0,"5 years"
"82406",16450,16450,"11.14%","36 months","debt_consolidation","7.57%","NC","RENT",7500,"725-729",5,2928,0,"1 year"
"17143",2500,2500,"12.98%","36 months","debt_consolidation","16.45%","WI","RENT",1100,"670-674",6,5019,1,"4 years"
"27486",6000,6000,"9.99%","36 months","other","7.50%","FL","MORTGAGE",2625,"715-719",4,5167,0,"10+ years"
"96613",27575,27575,"14.33%","36 months","debt_consolidation","19.63%","CA","MORTGAGE",5166.67,"690-694",6,8720,0,"10+ years"
"6263",1000,1000,"8.59%","36 months","educational","10.69%","NY","OWN",4583.33,"755-759",22,17069,1,"< 1 year"
"29283",12000,12000,"11.49%","36 months","debt_consolidation","12.85%","IL","RENT",2708.33,"705-709",8,12150,1,"< 1 year"
"99766",30000,30000,"10.16%","36 months","debt_consolidation","22.21%","SD","MORTGAGE",8000,"715-719",14,33218,0,"10+ years"
"85893",13500,13500,"14.33%","36 months","debt_consolidation","31.70%","WV","RENT",4166.67,"680-684",11,31168,0,"1 year"
"98972",9000,9000,"15.80%","36 months","debt_consolidation","22.65%","OH","MORTGAGE",3250,"665-669",9,16480,0,"3 years"
"44054",15000,15000,"9.91%","36 months","debt_consolidation","9.16%","AK","MORTGAGE",4250,"730-734",11,11615,1,"10+ years"
"51948",5300,5300,"7.90%","36 months","medical","12.82%","CA","RENT",5500,"725-729",8,9996,2,"1 year"
"48676",7000,7000,"13.11%","36 months","debt_consolidation","16.76%","NJ","RENT",3650,"685-689",12,6444,1,"5 years"
"82294",20000,19975,"16.29%","36 months","debt_consolidation","11.85%","CA","RENT",9166.67,"685-689",10,12421,3,"< 1 year"
"20328",15000,14993.57,"18.25%","60 months","debt_consolidation","13.65%","CA","RENT",2916.67,"705-709",4,12786,0,"< 1 year"
"71489",8000,8000,"14.09%","36 months","home_improvement","12.06%","HI","RENT",5000,"695-699",10,15360,1,"6 years"
"43203",24000,23947.48,"19.03%","60 months","debt_consolidation","3.63%","CA","RENT",7500,"695-699",6,8568,1,"10+ years"
"48319",7500,7500,"8.90%","36 months","debt_consolidation","10.02%","DE","RENT",5500,"715-719",9,2382,0,"6 years"
"5367",17000,16875,"11.83%","36 months","debt_consolidation","12.70%","GA","RENT",4583.33,"735-739",5,3644,1,"6 years"
"83768",12000,12000,"17.27%","36 months","credit_card","14.86%","NJ","OWN",4583.33,"665-669",12,9145,1,"10+ years"
"88084",6000,6000,"15.31%","36 months","other","15.91%","MN","RENT",3833.33,"670-674",11,5760,1,"10+ years"
"101540",6725,825,"13.12%","36 months","debt_consolidation","13.16%","MO","MORTGAGE",5000,"670-674",10,5513,9,"10+ years"
"9664",4500,4500,"6.76%","36 months","debt_consolidation","14.74%","WV","MORTGAGE",2666.67,"790-794",7,2705,0,"7 years"
"1494",1600,1600,"10.83%","36 months","other","5.36%","RI","RENT",2427,"700-704",5,7020,0,"3 years"
"61703",10000,10000,"17.77%","36 months","wedding","30.40%","NY","OWN",2500,"665-669",5,8379,0,"8 years"
"61576",18550,18525,"7.90%","36 months","debt_consolidation","16.93%","GA","MORTGAGE",5416.67,"725-729",10,28877,0,"3 years"
"21993",7450,7450,"13.06%","36 months","debt_consolidation","3.30%","WA","MORTGAGE",5883.33,"710-714",2,6416,1,"10+ years"
"58359",3225,3225,"7.62%","36 months","debt_consolidation","17.79%","CA","MORTGAGE",5833.33,"760-764",5,70323,1,"10+ years"
"67335",23675,23675,"17.77%","36 months","credit_card","29.94%","PA","OWN",6399,"680-684",21,21920,0,"10+ years"
"57080",12000,12000,"12.12%","36 months","debt_consolidation","18.62%","VA","RENT",5833.33,"690-694",16,18838,0,"10+ years"
"30035",25000,25000,"16.49%","36 months","debt_consolidation","18.18%","MA","RENT",6000,"695-699",9,10630,2,"7 years"
"103948",16000,15850,"11.12%","36 months","credit_card","17.86%","CA","MORTGAGE",6666.67,"725-729",7,18659,4,"5 years"
"96659",4200,4175,"8.90%","36 months","car","10.16%","NC","MORTGAGE",3041.67,"810-814",4,1548,0,"10+ years"
"67158",10000,10000,"14.09%","36 months","debt_consolidation","21.45%","CO","RENT",4583.33,"675-679",11,8548,0,"6 years"
"33777",6000,6000,"7.51%","36 months","home_improvement","2.52%","NJ","MORTGAGE",4800,"750-754",4,1442,0,"10+ years"
"59724",6000,6000,"13.11%","36 months","debt_consolidation","15.33%","KS","RENT",3333.33,"685-689",7,12503,2,"2 years"
"95096",7925,7925,"16.29%","36 months","debt_consolidation","21.25%","GA","RENT",2000,"665-669",6,7840,0,"6 years"
"67629",16000,15925,"7.62%","36 months","debt_consolidation","6.48%","IL","MORTGAGE",6000,"765-769",8,19539,0,"n/a"
"51929",9525,9500,"15.81%","36 months","small_business","11.35%","CA","RENT",2666.67,"670-674",15,5610,1,"n/a"
"13216",6000,6000,"14.35%","36 months","debt_consolidation","14.08%","IL","MORTGAGE",2500,"675-679",9,3621,3,"< 1 year"
"103405",10000,9975,"14.96%","36 months","debt_consolidation","11.50%","FL","MORTGAGE",5250,"675-679",4,3035,5,"2 years"
"53271",7000,7000,"6.62%","36 months","major_purchase","8.03%","NM","MORTGAGE",10000,"750-754",9,6761,1,"6 years"
"25380",4500,4500,"5.99%","36 months","debt_consolidation","18.48%","CA","MORTGAGE",10000,"765-769",18,17863,3,"6 years"
"6987",12000,12000,"11.14%","36 months","debt_consolidation","2.37%","MD","MORTGAGE",12500,"735-739",13,10944,0,"5 years"
"96413",10375,10375,"19.72%","36 months","debt_consolidation","4.99%","CT","RENT",4166.67,"665-669",9,6122,1,"5 years"
"88273",4800,4800,"18.75%","36 months","other","10.89%","NM","MORTGAGE",5833.33,"670-674",8,17943,0,"10+ years"
"48519",6400,6400,"13.11%","36 months","credit_card","11.46%","LA","MORTGAGE",4666.67,"700-704",7,8942,1,"10+ years"
"69456",5000,5000,"7.90%","36 months","debt_consolidation","17.22%","CA","OWN",4000,"705-709",10,6023,0,"10+ years"
"41198",12000,12000,"6.62%","36 months","credit_card","21.66%","NC","RENT",5250,"740-744",11,20639,0,"< 1 year"
"44282",23850,23820.25,"21.48%","60 months","other","18.75%","NY","MORTGAGE",4250,"690-694",23,37251,0,"4 years"
"34122",15000,15000,"10.65%","36 months","small_business","16.15%","OH","MORTGAGE",7083.33,"720-724",14,338,2,"9 years"
"84563",8000,8000,"7.62%","36 months","other","0%","NC","MORTGAGE",3500,"765-769",7,0,1,"n/a"
"98634",20000,20000,"6.03%","36 months","credit_card","18.67%","FL","MORTGAGE",14583.33,"715-719",9,29044,0,"7 years"
"73526",20000,19975,"13.11%","36 months","debt_consolidation","15.09%","NC","RENT",8233.33,"710-714",17,29756,2,"< 1 year"
"82476",10000,10000,"14.09%","36 months","debt_consolidation","10.59%","CA","RENT",2916.67,"690-694",9,10390,3,"< 1 year"
"67263",18825,18825,"14.09%","36 months","credit_card","13.08%","MI","RENT",4000,"710-714",6,20694,1,"4 years"
"41267",35000,34975,"7.90%","36 months","small_business","1.59%","IL","RENT",18333.33,"775-779",10,1992,0,"1 year"
"64884",9000,9000,"6.03%","36 months","vacation","5.58%","NJ","MORTGAGE",9583.33,"815-819",11,675,0,"n/a"
"18452",4000,4000,"6.17%","36 months","home_improvement","15%","CT","RENT",4234,"745-749",5,587,1,"2 years"
"57866",5750,5750,"13.99%","36 months","credit_card","12.44%","CA","RENT",5000,"660-664",13,12465,0,"10+ years"
"77151",20950,20950,"15.80%","36 months","debt_consolidation","15.71%","MA","MORTGAGE",12916.67,"690-694",8,30188,1,"4 years"
"25405",8000,8000,"10.99%","36 months","credit_card","14.76%","NY","RENT",7500,"710-714",9,7120,2,"< 1 year"
"85644",10000,10000,"10.16%","36 months","debt_consolidation","9.30%","TX","MORTGAGE",3333.33,"725-729",8,8940,2,"n/a"
"85686",10000,10000,"14.09%","36 months","small_business","14.76%","NY","RENT",5000,"675-679",7,4762,0,"4 years"
"54649",14000,14000,"6.03%","36 months","credit_card","19.53%","CT","MORTGAGE",6000,"765-769",13,4140,0,"8 years"
"19069",5000,5000,"7.66%","36 months","credit_card","3.33%","RI","RENT",9000,"735-739",3,12297,0,"10+ years"
"74479",25000,25000,"19.05%","60 months","debt_consolidation","10.53%","IL","MORTGAGE",6250,"700-704",8,15159,1,"9 years"
"76693",35000,35000,"8.90%","36 months","debt_consolidation","14.62%","CA","RENT",10416.67,"735-739",9,21321,0,"10+ years"
"63266",7200,7175,"11.14%","36 months","debt_consolidation","27.89%","OK","MORTGAGE",3750,"690-694",8,20342,0,"10+ years"
"32008",14000,14000,"8.49%","60 months","debt_consolidation","9.89%","CA","MORTGAGE",9000,"760-764",17,23773,0,"4 years"
"13996",15000,14975,"15.21%","36 months","debt_consolidation","19.10%","TX","RENT",5132,"680-684",4,34044,1,"3 years"
"80638",25000,25000,"19.72%","60 months","debt_consolidation","32.10%","NY","OWN",4916.67,"695-699",21,35208,1,"7 years"
"36889",10800,10800,"14.65%","36 months","debt_consolidation","7.89%","CA","RENT",9583.33,"675-679",6,6487,1,"< 1 year"
"72169",20000,20000,"14.33%","36 months","credit_card","21.44%","GA","MORTGAGE",6250,"700-704",9,14268,1,"9 years"
"19548",4000,4000,"10.74%","36 months","debt_consolidation","1.97%","KS","RENT",2900,"695-699",13,1869,1,"n/a"
"103357",16000,15950,"15.70%","36 months","debt_consolidation","23.51%","OH","MORTGAGE",9333.33,"675-679",20,12721,5,"10+ years"
"59117",1400,1400,"9.76%","36 months","vacation","27.14%","NV","MORTGAGE",4683.33,"730-734",6,6466,0,"2 years"
"15427",7500,7500,"16.32%","36 months","debt_consolidation","12.54%","CA","MORTGAGE",4600,"665-669",3,6120,0,"2 years"
"224",24625,917.28,"14.07%","36 months","credit_card","12.81%","NY","MORTGAGE",10000,"675-679",14,33698,0,"8 years"
"85618",5000,5000,"14.09%","36 months","debt_consolidation","29.02%","FL","MORTGAGE",5416.67,"680-684",11,3977,1,"< 1 year"
"43436",25000,24975,"9.91%","36 months","debt_consolidation","20.49%","NY","RENT",7916.67,"725-729",14,27203,0,"1 year"
"19328",7500,7500,"16.40%","36 months","debt_consolidation","13.34%","CA","RENT",4166.67,"660-664",8,7430,0,"< 1 year"
"65134",34500,34450,"6.62%","36 months","small_business","16.46%","CA","MORTGAGE",10000,"805-809",8,5317,0,"9 years"
"20263",10000,10000,"5.79%","36 months","debt_consolidation","6.49%","GA","MORTGAGE",12500,"745-749",17,75629,0,"1 year"
"9194",3200,3200,"9.88%","36 months","debt_consolidation","6.51%","MA","RENT",4500,"740-744",7,3198,0,"5 years"
"27520",5500,5500,"15.99%","60 months","debt_consolidation","17.95%","RI","RENT",4250,"700-704",16,13256,0,"10+ years"
"45941",3000,3000,"9.76%","36 months","debt_consolidation","21.82%","VA","OWN",1100,"720-724",4,2413,0,"n/a"
"69242",18000,18000,"23.28%","60 months","debt_consolidation","9.05%","WI","RENT",7083.33,"660-664",6,13106,0,"10+ years"
"2633",10000,9700,"9.63%","36 months","debt_consolidation","13.77%","OK","MORTGAGE",4190,"735-739",6,1251,1,"< 1 year"
"48662",8800,8800,"13.11%","36 months","credit_card","16.73%","WI","RENT",3150.25,"700-704",13,14266,1,"4 years"
"65775",7000,7000,"11.14%","36 months","debt_consolidation","23.02%","TX","MORTGAGE",6000,"705-709",17,19634,2,"6 years"
"92773",8000,8000,"13.11%","36 months","debt_consolidation","19.01%","AK","RENT",2625,"725-729",8,7554,1,"5 years"
"33161",3000,3000,"17.27%","36 months","credit_card","16.62%","SC","RENT",3833.33,"660-664",4,4136,0,"n/a"
"37985",12000,11975,"7.51%","36 months","debt_consolidation","11.91%","MD","RENT",7500,"735-739",18,33702,1,"10+ years"
"2791",3600,3575,"14.11%","36 months","small_business","0.04%","WI","RENT",2500,"725-729",4,1,0,"3 years"
"81950",11625,11625,"14.33%","36 months","debt_consolidation","22.84%","NY","MORTGAGE",2833.33,"705-709",6,27411,2,"8 years"
"84215",30000,30000,"21.49%","36 months","credit_card","16.70%","MD","MORTGAGE",12500,"670-674",14,19096,2,"9 years"
"93352",16000,16000,"8.90%","36 months","debt_consolidation","19.71%","CO","RENT",7083.33,"720-724",11,6185,1,"4 years"
"10474",10800,10700,"10.75%","36 months","major_purchase","15.32%","FL","MORTGAGE",8400,"715-719",6,24675,0,"10+ years"
"15717",25000,23655.48,"16.69%","60 months","debt_consolidation","14.11%","CO","MORTGAGE",7666.67,"705-709",15,28748,3,"8 years"
"103874",10000,10000,"13.98%","60 months","other","14.86%","MO","RENT",3916.67,"710-714",9,5188,4,"4 years"
"132",12375,275,"10.91%","36 months","small_business","16.39%","VA","MORTGAGE",3892.75,"690-694",11,8332,2,"3 years"
"5169",6000,6000,"11.48%","36 months","credit_card","18.20%","NY","MORTGAGE",5031.67,"705-709",9,50935,0,"10+ years"
"29812",8000,8000,"13.49%","36 months","debt_consolidation","14.92%","CO","RENT",5000,"685-689",18,4786,1,"2 years"
"56991",15000,15000,"18.25%","36 months","credit_card","9.73%","GA","MORTGAGE",5000,"660-664",11,14596,0,"8 years"
"62537",7000,7000,"17.77%","36 months","other","32.25%","NY","RENT",3333.33,"665-669",12,35604,3,"7 years"
"22858",8400,8400,"6.92%","36 months","renewable_energy","13.30%","MD","RENT",3000,"745-749",9,6998,1,"1 year"
"78602",15000,15000,"7.90%","36 months","debt_consolidation","18.62%","PA","MORTGAGE",4500,"740-744",10,17212,0,"7 years"
"93778",15000,14925,"14.33%","36 months","debt_consolidation","13.30%","TX","RENT",5000,"665-669",7,11368,1,"< 1 year"
"87504",2800,2800,"10.16%","36 months","major_purchase","12%","NY","RENT",2083.33,"695-699",7,7261,0,"< 1 year"
"92105",7750,7750,"16.29%","36 months","debt_consolidation","26.74%","FL","MORTGAGE",2916.67,"680-684",18,17102,0,"5 years"
"59387",4500,4500,"8.90%","36 months","credit_card","18.18%","UT","RENT",2166.67,"700-704",8,5361,0,"4 years"
"6067",17500,17375,"12.53%","36 months","debt_consolidation","21.63%","CO","RENT",3666.67,"715-719",7,20010,0,"6 years"
"62445",18000,18000,"15.31%","60 months","debt_consolidation","4.93%","CA","RENT",5258.5,"710-714",6,11596,0,"10+ years"
"35834",15000,14975,"15.27%","60 months","debt_consolidation","17.90%","PA","MORTGAGE",2748,"720-724",14,7956,1,"6 years"
"24320",6000,6000,"15.23%","36 months","credit_card","19.57%","KS","OWN",4583.33,"665-669",13,8077,1,"1 year"
"68821",11500,11475,"11.14%","36 months","credit_card","28.25%","CA","RENT",2750,"700-704",6,9079,0,"5 years"
"96988",10000,10000,"13.11%","36 months","credit_card","7.56%","PA","RENT",2500,"685-689",8,10906,0,"7 years"
"47002",12000,12000,"8.90%","36 months","credit_card","12.46%","MD","RENT",5000,"725-729",5,13940,0,"10+ years"
"53897",10000,10000,"12.12%","36 months","debt_consolidation","18.40%","CA","MORTGAGE",5000,"685-689",7,13202,0,"10+ years"
"40136",35000,34975,"21.28%","60 months","debt_consolidation","18.21%","AL","RENT",7916.67,"680-684",8,19789,2,"10+ years"
"14952",7200,7100,"10.38%","60 months","major_purchase","17.97%","PA","RENT",3000,"750-754",7,2753,1,"2 years"
"40856",4000,3975,"7.90%","60 months","car","4.48%","TX","OWN",4000,"800-804",16,6696,0,"< 1 year"
"4938",5300,5200,"11.14%","36 months","debt_consolidation","8.47%","UT","MORTGAGE",8333.33,"740-744",5,73258,1,"3 years"
"59272",1200,1200,"7.62%","36 months","other","8.69%","NY","MORTGAGE",3833.33,"730-734",14,350,1,"7 years"
"80512",2500,2500,"11.14%","36 months","major_purchase","10.08%","CA","RENT",4333.33,"720-724",4,4922,0,"3 years"
"82071",17000,16975,"14.33%","36 months","debt_consolidation","26.35%","MN","OWN",7500,"700-704",21,39130,3,"10+ years"
"90748",16000,16000,"7.90%","36 months","credit_card","12.30%","CA","MORTGAGE",8416.67,"695-699",14,21913,1,"5 years"
"42319",10000,9950,"12.69%","36 months","debt_consolidation","3.80%","CA","MORTGAGE",6666.67,"695-699",8,7967,1,"3 years"
"81914",5000,5000,"10.16%","36 months","debt_consolidation","24.50%","AL","MORTGAGE",6250,"700-704",9,33705,0,"6 years"
"97954",4375,4375,"19.05%","36 months","credit_card","9.09%","CA","RENT",2916.67,"670-674",9,6944,2,"6 years"
"41074",8500,8475,"6.03%","36 months","home_improvement","12.33%","MO","MORTGAGE",6100,"745-749",17,6370,0,"10+ years"
"30600",12000,12000,"16.89%","60 months","small_business","15.24%","OH","MORTGAGE",7500,"675-679",14,28589,2,"3 years"
"4909",6200,6100,"8.59%","36 months","other","19.10%","WI","RENT",5000,"740-744",17,9367,0,"1 year"
"63340",7000,7000,"18.49%","36 months","debt_consolidation","18.90%","AR","MORTGAGE",2000,"660-664",10,7315,2,"1 year"
"35313",20800,20800,"12.69%","60 months","debt_consolidation","7.08%","GA","MORTGAGE",6541.67,"730-734",9,13197,0,"1 year"
"45225",19200,19200,"13.11%","60 months","other","3.45%","IL","MORTGAGE",8333.33,"745-749",14,50625,3,"2 years"
"98090",22000,22000,"15.80%","60 months","debt_consolidation","21.32%","KY","MORTGAGE",5416.67,"700-704",9,10267,1,"10+ years"
"71142",15000,15000,"19.05%","36 months","debt_consolidation","24.88%","AZ","RENT",6000,"675-679",12,12162,0,"1 year"
"5282",7000,6965.1,"19.47%","36 months","debt_consolidation","17.08%","NJ","RENT",5000,"665-669",11,13859,0,"3 years"
"52333",20000,20000,"8.90%","36 months","credit_card","17.08%","CO","RENT",4916.67,"730-734",10,14952,2,"4 years"
"15274",2000,2000,"6.17%","36 months","moving","18.35%","WA","RENT",5733.58,"745-749",9,21998,0,"3 years"
"32037",18000,17738.58,"10.59%","60 months","major_purchase","15.03%","OH","MORTGAGE",4000,"755-759",9,6718,0,"10+ years"
"6528",20800,20775,"11.48%","36 months","home_improvement","21.77%","CA","OWN",11666.67,"790-794",6,682,1,"10+ years"
"10487",9000,8875,"7.88%","36 months","debt_consolidation","14.51%","MA","MORTGAGE",5708.33,"725-729",9,12217,0,"7 years"
"64690",6000,6000,"14.09%","36 months","credit_card","22.50%","UT","RENT",2666.67,"670-674",18,5955,0,"10+ years"
"66605",5000,5000,"15.80%","36 months","debt_consolidation","34.20%","CA","RENT",3750,"665-669",18,5414,3,"3 years"
"18512",12000,11975,"14.83%","60 months","credit_card","22.31%","CA","RENT",4186,"685-689",9,9398,0,"3 years"
"1173",7000,1998,"8.00%","36 months","credit_card","6.36%","AZ","MORTGAGE",7583.33,"750-754",9,21135,0,"10+ years"
"22150",6000,5950,"10.00%","36 months","major_purchase","8.74%","FL","MORTGAGE",15416.67,"715-719",9,105730,1,"10+ years"
"104008",17000,16975,"13.98%","36 months","debt_consolidation","17.65%","TX","MORTGAGE",9166.67,"700-704",14,16230,4,"3 years"
"4665",12000,11975,"8.94%","36 months","credit_card","18.99%","TX","RENT",4750,"750-754",13,25577,1,"4 years"
"43053",16350,16350,"7.90%","36 months","credit_card","25.03%","MN","OWN",4541.67,"730-734",7,25731,0,"9 years"
"59192",20000,20000,"7.90%","36 months","debt_consolidation","20.04%","TX","MORTGAGE",4625,"755-759",14,31335,1,"10+ years"
"80538",12300,12300,"12.12%","36 months","debt_consolidation","10.01%","CA","RENT",6583.33,"690-694",15,12450,0,"1 year"
"78519",4800,4800,"13.11%","36 months","moving","4.61%","TX","RENT",2666.67,"690-694",3,7911,0,"< 1 year"
"48236",14500,14500,"7.90%","36 months","credit_card","11.96%","IL","RENT",4500,"735-739",8,16398,0,"6 years"
"51833",4200,4200,"8.90%","36 months","debt_consolidation","10.43%","CA","MORTGAGE",2254,"700-704",7,4490,0,"n/a"
"69446",22250,22250,"14.09%","36 months","credit_card","32.10%","MN","MORTGAGE",6583.33,"690-694",18,44868,0,"10+ years"
"18161",8000,8000,"14.09%","36 months","home_improvement","7.68%","IL","RENT",25000,"675-679",6,28579,1,"8 years"
"78856",8325,8325,"17.77%","36 months","debt_consolidation","20.75%","MO","RENT",2000,"665-669",7,7676,0,"< 1 year"
"48412",14000,14000,"13.11%","36 months","debt_consolidation","8.12%","CA","OWN",10416.67,"730-734",4,4776,0,"7 years"
"60192",9000,9000,"10.16%","36 months","debt_consolidation","3.98%","MD","MORTGAGE",6000,"705-709",6,5659,0,"7 years"
"97275",16000,16000,"13.11%","36 months","credit_card","17.61%","GA","MORTGAGE",6083.33,"680-684",13,15148,0,"2 years"
"103218",15200,13694.22,"11.14%","36 months","credit_card","14.50%","AZ","MORTGAGE",7916.67,"760-764",7,217827,2,"6 years"
