ID,country,infant_mortality,gdpcap,literacy
93,Iraq                               ,50.25,1500,0.4
94,Ireland                            ,5.39,29600,0.98
95,Israel                             ,7.03,19800,0.95
96,Italy                              ,5.94,26700,0.99
97,Jamaica                            ,12.36,3900,0.88
98,Japan                              ,3.26,28200,0.99
99,Jersey                             ,5.24,24800,1
100,Jordan                             ,17.35,4300,0.91
101,Kazakhstan                         ,29.21,6300,0.98
102,Kenya                              ,61.47,1000,0.85
103,North Korea,24.04,1300,0.99
104,South Korea,7.05,17800,0.98
105,Kuwait                             ,9.95,19000,0.84
106,Kyrgyzstan                         ,35.64,1600,0.97
107,Laos                               ,85.22,1700,0.66
108,Latvia                             ,9.55,10200,1
109,Lebanon                            ,24.52,4800,0.87
110,Lesotho                            ,84.23,3000,0.85
111,Liberia                            ,128.87,1000,0.58
112,Libya                              ,24.6,6400,0.83
113,Liechtenstein                      ,4.7,25000,1
114,Lithuania                          ,6.89,11400,1
115,Luxembourg                         ,4.81,55100,1
116,Macau S.A.R.                       ,4.39,19400,0.95
117,Madagascar                         ,76.83,800,0.69
118,Malawi                             ,103.32,600,0.63
119,Malaysia                           ,17.7,9000,0.89
120,Maldives                           ,56.52,3900,0.97
121,Mali                               ,116.79,900,0.46
122,Malta                              ,3.89,17700,0.93
123,Marshall Islands                   ,29.45,1600,0.94
124,Martinique                         ,7.09,14400,0.98
125,Mauritania                         ,70.89,1800,0.42
126,Mauritius                          ,15.03,11400,0.86
127,Mexico                             ,20.91,9000,0.92
128,Micronesia,30.21,2000,0.89
129,Moldova                            ,40.42,1800,0.99
130,Monaco                             ,5.43,27000,0.99
131,Mongolia                           ,53.79,1800,0.98
132,Montserrat                         ,7.35,3400,0.97
133,Morocco                            ,41.62,4000,0.52
134,Mozambique                         ,130.79,1200,0.48
135,Namibia                            ,48.98,7200,0.84
136,Nepal                              ,66.98,1400,0.45
137,Netherlands                        ,5.04,28600,0.99
138,Netherlands Antilles               ,10.03,11400,0.97
139,New Caledonia                      ,7.72,15000,0.91
140,New Zealand                        ,5.85,21600,0.99
141,Nicaragua                          ,29.11,2300,0.68
142,Niger                              ,121.69,800,0.18
143,Nigeria                            ,98.8,900,0.68
144,Northern Mariana Islands           ,7.11,12500,0.97
145,Norway                             ,3.7,37800,1
146,Oman                               ,19.51,13100,0.76
147,Pakistan                           ,72.44,2100,0.46
148,Palau                              ,14.84,9000,0.92
149,Panama                             ,20.47,6300,0.93
150,Papua New Guinea                   ,51.45,2200,0.65
151,Paraguay                           ,25.63,4700,0.94
152,Peru                               ,31.94,5100,0.91
153,Philippines                        ,23.51,4600,0.93
154,Poland                             ,8.51,11100,1
155,Portugal                           ,5.05,18000,0.93
156,Puerto Rico                        ,8.24,16800,0.94
157,Qatar                              ,18.61,21500,0.83
158,Reunion                            ,7.78,5800,0.89
159,Romania                            ,26.43,7000,0.98
160,Russia                             ,15.39,8900,1
161,Rwanda                             ,91.23,1300,0.7
162,Saint Helena                       ,19,2500,0.97
163,Saint Kitts and Nevis              ,14.49,8800,0.97
164,Saint Lucia                        ,13.53,5400,0.67
165,Saint Pierre and Miquelon          ,7.54,6900,0.99
166,Saint Vincent and the Grenadines   ,14.78,2900,0.96
167,Samoa                              ,27.71,5600,1
168,San Marino                         ,5.73,34600,0.96
169,Sao Tome and Principe              ,43.11,1200,0.79
170,Saudi Arabia                       ,13.24,11800,0.79
171,Senegal                            ,55.51,1600,0.4
172,Serbia and Montenegro              ,12.89,2200,0.93
173,Seychelles                         ,15.53,7800,0.58
174,Sierra Leone                       ,143.64,500,0.31
175,Singapore                          ,2.29,23700,0.93
176,Slovenia                           ,4.45,19000,1
177,Somalia                            ,116.7,500,0.38
178,South Africa                       ,61.81,10700,0.86
179,Spain                              ,4.42,22000,0.98
180,Sri Lanka                          ,14.35,3700,0.92
181,Sudan                              ,62.5,1900,0.61
182,Suriname                           ,23.57,4000,0.93
183,Swaziland                          ,69.27,4900,0.82
184,Sweden                             ,2.77,26800,0.99
185,Switzerland                        ,4.39,32700,0.99
186,Syria                              ,29.53,3300,0.77
187,Taiwan                             ,6.4,23400,0.96
188,Tajikistan                         ,110.76,1000,0.99
189,Tanzania                           ,98.54,600,0.78
190,Thailand                           ,20.48,7400,0.93
191,Togo                               ,66.61,1500,0.61
192,Tonga                              ,12.62,2200,0.99
193,Trinidad and Tobago                ,24.31,9500,0.99
194,Tunisia                            ,24.77,6900,0.74
195,Turkey                             ,41.04,6700,0.87
196,Turkmenistan                       ,73.08,5800,0.98
197,Turks and Caicos Islands           ,15.67,9600,0.98
198,Uganda                             ,67.83,1400,0.7
199,Ukraine                            ,20.34,5400,1
200,United Arab Emirates               ,14.51,23200,0.78
201,United Kingdom                     ,5.16,27700,0.99
202,United States                      ,6.5,37800,0.97
203,Uruguay                            ,11.95,12800,0.98
204,Uzbekistan                         ,71.1,1700,0.99
205,Vanuatu                            ,55.16,2900,0.53
206,Venezuela                          ,22.2,4800,0.93
207,Vietnam                            ,25.95,2500,0.9
208,Yemen                              ,61.5,800,0.5
209,Zambia                             ,88.29,800,0.81
210,Zimbabwe                           ,67.69,1900,0.91
